Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;335770;2.44500041008;0;27.79866027832;0;1740342530;0.08844338821632;0;537110;0;83.903295231293;16.008253550177;3392.0003072049;0;0;1740342502;0;0;
otapie;_ALL;_ALL;0;335770;2.44500041008;0;27.79866027832;0;1740342530;0.08844338821632;0;537110;0;83.903295231293;16.008253550177;3392.0003072049;0;0;1740342502;0;0;
otapie;56591;_ALL;0;335770;2.44500041008;0;27.79866027832;0;1740342530;0.08844338821632;0;537110;0;83.903295231293;16.008253550177;3392.0003072049;0;0;1740342502;0;0;
otapie;56591;56624;24.089159011841;335786;1.9049996137619;0;27.752151489258;0;1740342530;0;0;583634;0;85.826778630737;14.173230608258;380.99993919903;3.1939101219177;0;1740342502;0;0;
otapie;56591;56625;27.556106567383;335801;2.0550000667572;0;27.752117156982;0;1740342530;0;0;583683;0;84.67152793073;15.328466619062;411.00003520056;2.6803820133209;0;1740342502;0;0;
otapie;56591;56627;27.526109695435;335876;2.190000295639;0;27.752105712891;0;1740342530;0;0;583770;0;85.388114859785;14.611869797507;438.00007040113;1.4268939495087;0;1740342502;0;0;
otapie;56591;56626;26.557102203369;335841;2.3149998188019;0;27.752105712891;0;1740342530;0;0;583735;0;83.585315134962;16.414686938505;462.99999679995;2.2179501056671;0;1740342502;0;0;
otapie;56591;56629;27.679584503174;336005;2.0450000762939;0;27.752166748047;0;1740342530;0;0;583838;0;82.396088476762;17.603912305647;409.00002880046;2.272910118103;0;1740342502;0;0;
otapie;56591;56591;27.346111297607;335770;2.44500041008;0;27.79866027832;0;1740342530;0.61349676790989;0;537110;0;85.480556206182;13.905926739291;489.0001312021;1.5944900512695;0;1740342502;0;0;
otapie;56591;56630;26.795114517212;336467;2.1200003623962;0;27.752593994141;0;1740342530;0;0;583873;0;81.603757294153;18.396223082895;424.00007680123;1.8800489902496;0;1740342502;0;0;
otapie;56591;56628;27.053577423096;335822;1.8849999904633;0;27.752017974854;0;1740342530;0;0;583805;0;81.962855064752;18.037133900589;377.00002880046;3.2153699398041;0;1740342502;0;0;
