node;pid;tid;core_id;sample_count;
otapie;56852;56905;1;405;
otapie;56852;56914;1;425;
otapie;56852;56904;1;399;
otapie;56852;56915;1;418;
otapie;56852;56903;1;440;
otapie;56852;56852;1;494;
otapie;56852;56902;1;448;
otapie;56852;56885;1;431;
otapie;56852;56901;1;416;
otapie;56852;56886;1;418;
otapie;56852;56900;1;378;
otapie;56852;56887;1;436;
otapie;56852;56899;1;440;
otapie;56852;56888;1;387;
otapie;56852;56898;1;394;
otapie;56852;56889;1;459;
otapie;56852;56897;1;439;
otapie;56852;56906;1;441;
otapie;56852;56896;1;432;
otapie;56852;56907;1;401;
otapie;56852;56895;1;434;
otapie;56852;56908;1;416;
otapie;56852;56894;1;411;
otapie;56852;56909;1;443;
otapie;56852;56893;1;390;
otapie;56852;56910;1;400;
otapie;56852;56892;1;398;
otapie;56852;56911;1;447;
otapie;56852;56891;1;414;
otapie;56852;56912;1;425;
otapie;56852;56890;1;414;
otapie;56852;56913;1;413;
