Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;978997;19.709991455078;0;74.306884765625;0;1740343292;15.272555616717;0.0068394784242038;672109;0;0.21886330957452;84.501751586538;14620.99794717;0;0;1740343218;0;0;
otapie;_ALL;_ALL;0;978997;19.709991455078;0;74.306884765625;0;1740343292;15.272555616717;0.0068394784242038;672109;0;0.21886330957452;84.501751586538;14620.99794717;0;0;1740343218;0;0;
otapie;57755;_ALL;0;978997;19.709991455078;0;74.306884765625;0;1740343292;15.272555616717;0.0068394784242038;672109;0;0.21886330957452;84.501751586538;14620.99794717;0;0;1740343218;0;0;
otapie;57755;57789;73.755805969238;979331;7.699999332428;0;73.853614807129;0;1740343292;0;0;125716;0;0.25974027593209;99.740259308477;1539.9999039986;1.6462509632111;0;1740343219;0;0;
otapie;57755;57791;73.720840454102;980034;7.6849999427795;0;73.854217529297;0;1740343292;0;0;125817;0;0.3903708649074;99.60962851049;1536.9999503993;2.1877551078796;0;1740343219;0;0;
otapie;57755;57794;73.570823669434;979422;7.4249997138977;0;73.853462219238;0;1740343292;0;0;125959;0;0.13468013743726;99.865319647071;1484.9999695996;2.3828458786011;0;1740343219;0;0;
otapie;57755;57788;72.754302978516;979026;7.4350004196167;0;73.853385925293;0;1740343292;0;0;125637;0;0.13449898445564;99.865493913896;1487.0000752011;1.7274799346924;0;1740343219;0;0;
otapie;57755;57755;74.177925109863;978997;19.709991455078;0;74.306884765625;0;1740343292;56.646396166084;0.025367843739444;672109;0;0.20294274991555;43.125333869984;3941.9984223773;1.8721039295197;0;1740343218;0;0;
otapie;57755;57790;73.605812072754;979532;7.6249995231628;0;73.853759765625;0;1740343292;0;0;125772;0;0.26229509380076;99.737704486521;1524.999931199;2.7763819694519;0;1740343219;0;0;
otapie;57755;57792;73.695617675781;979216;7.5749998092651;0;73.85334777832;0;1740343292;0;0;125867;0;0.19801981306424;99.801976490513;1514.9999151988;2.0933449268341;0;1740343219;0;0;
otapie;57755;57793;73.388694763184;979054;7.9499988555908;0;73.853141784668;0;1740343292;0;0;125913;0;0.18867927148489;99.811323646797;1589.9997791968;1.8213520050049;0;1740343219;0;0;
