node;pid;tid;core_id;sample_count;
otapie;58030;58070;1;410;
otapie;58030;58093;1;426;
otapie;58030;58071;1;385;
otapie;58030;58092;1;369;
otapie;58030;58072;1;402;
otapie;58030;58091;1;357;
otapie;58030;58073;1;388;
otapie;58030;58090;1;384;
otapie;58030;58074;1;379;
otapie;58030;58089;1;368;
otapie;58030;58075;1;369;
otapie;58030;58088;1;372;
otapie;58030;58076;1;384;
otapie;58030;58087;1;374;
otapie;58030;58077;1;364;
otapie;58030;58086;1;372;
otapie;58030;58030;1;2767;
otapie;58030;58085;1;360;
otapie;58030;58063;1;379;
otapie;58030;58084;1;370;
otapie;58030;58064;1;401;
otapie;58030;58083;1;391;
otapie;58030;58065;1;393;
otapie;58030;58082;1;380;
otapie;58030;58066;1;412;
otapie;58030;58081;1;393;
otapie;58030;58067;1;389;
otapie;58030;58080;1;369;
otapie;58030;58068;1;358;
otapie;58030;58079;1;380;
otapie;58030;58069;1;355;
otapie;58030;58078;1;387;
