node;pid;tid;core_id;sample_count;
otapie;58567;58604;3;4251;
otapie;58567;58622;19;972;
otapie;58567;58622;21;1372;
otapie;58567;58622;25;269;
otapie;58567;58622;28;1640;
otapie;58567;58605;19;3284;
otapie;58567;58605;20;2;
otapie;58567;58605;25;956;
otapie;58567;58623;9;135;
otapie;58567;58623;12;410;
otapie;58567;58623;19;2;
otapie;58567;58623;25;677;
otapie;58567;58623;26;1246;
otapie;58567;58623;27;1366;
otapie;58567;58623;28;417;
otapie;58567;58606;18;1921;
otapie;58567;58606;25;1358;
otapie;58567;58606;28;975;
otapie;58567;58624;10;4259;
otapie;58567;58607;23;4260;
otapie;58567;58625;5;4260;
otapie;58567;58608;14;4251;
otapie;58567;58626;10;2;
otapie;58567;58626;12;3009;
otapie;58567;58626;25;135;
otapie;58567;58626;26;271;
otapie;58567;58626;29;832;
otapie;58567;58609;29;2737;
otapie;58567;58609;31;1522;
otapie;58567;58627;21;2887;
otapie;58567;58627;25;269;
otapie;58567;58627;26;960;
otapie;58567;58627;27;138;
otapie;58567;58610;7;4263;
otapie;58567;58628;4;4258;
otapie;58567;58611;12;837;
otapie;58567;58611;20;2739;
otapie;58567;58611;29;682;
otapie;58567;58629;13;4255;
otapie;58567;58612;2;4262;
otapie;58567;58630;20;1516;
otapie;58567;58630;30;2738;
otapie;58567;58613;18;2340;
otapie;58567;58613;19;2;
otapie;58567;58613;25;401;
otapie;58567;58613;26;133;
otapie;58567;58613;27;1374;
otapie;58567;58621;16;4257;
otapie;58567;58614;9;1095;
otapie;58567;58614;25;131;
otapie;58567;58614;26;1643;
otapie;58567;58614;27;1384;
otapie;58567;58620;11;4262;
otapie;58567;58567;17;6625;
otapie;58567;58567;19;1;
otapie;58567;58567;21;2;
otapie;58567;58619;6;4260;
otapie;58567;58600;24;4260;
otapie;58567;58618;1;4250;
otapie;58567;58618;4;1;
otapie;58567;58618;12;3;
otapie;58567;58618;25;1;
otapie;58567;58601;32;4260;
otapie;58567;58617;30;1523;
otapie;58567;58617;31;2737;
otapie;58567;58602;8;4258;
otapie;58567;58616;22;4261;
otapie;58567;58603;9;3027;
otapie;58567;58603;28;1225;
otapie;58567;58615;15;4260;
